診所名稱,搜尋行政區,診所類別,營業狀態,地址,電話,資料更新時間
也果美學診所 丨Z音波丨Q+音波丨十倍電波丨海神除毛丨皮秒蜂巢丨三倍光丨埋線丨肉毒丨玻尿酸丨童妍針丨薇貝拉丨喬亞露丨喬亞登 猛健樂,台中市北區,醫美,未知,健行路371號即將開始營業,04 2235 2190,2026-09-10 05:27
美加醫美診所台中分院-台中眼袋手術/醫學美容/微整形/整型外科,台中市北區,醫美,營業中,向上路一段345號營業中,04 2472 7890,2026-09-10 05:27
愛爾麗診所 台中崇德店｜台中醫美|麗珠蘭|皮秒雷射|音波拉提|無刀眼袋|體雕|玻尿酸|鳳凰電波|索夫波Sofwave|魔滴|肉毒|肉毒除皺|微整形|醫美推薦,台中市北區,醫美,營業中,崇德路一段586號營業中,04 2234 0777,2026-09-10 05:27
Rosy柔皙無瑕修膚美學家/台中市北區/西屯區/北屯區/南屯區/南區/妊娠紋/肥胖紋/生長紋/皮膚管理/黑眼圈/疤痕/傷疤/色素暗沈/法式永膚/近高鐵/近捷運/皮膚遮瑕/妊娠紋修復/醫美妊娠紋/醫美肥胖紋/醫美除疤,台中市北區,醫美,營業中,陝西二街21號營業中,0911 091 656,2026-09-10 05:27
采醫沛麗整形外科診所｜抽脂｜隆乳｜雙眼皮｜整形外科專科,台中市北區,醫美,營業中,文心路四段880號營業中,04 2234 1167,2026-09-10 05:27
益菲士皮膚管理中心-中國醫店,台中市北區,醫美,休息中/未營業,404大德街7號已打烊,04 2206 0086,2026-09-10 05:27
伊希思美學 - 一中店｜醫美肌膚管理｜台中做臉｜台中清粉刺｜無痛清粉刺｜做臉推薦｜,台中市北區,醫美,未知,育才北路66號3F0919 753 657,,2026-09-10 05:27
綺煦·美學 WISHE BEAUTY (博館院),台中市北區,醫美,營業中,健行路766巷7號營業中,,2026-09-10 05:27
佳儒美容,台中市北區,醫美,營業中,健行路445-1號2樓營業中,0911 889 116,2026-09-10 05:27
洪亮皮膚科診所-醫美 皮膚科 推薦 專業 音波拉提 雷射除斑 清粉刺 除痘疤 青春痘治療 微整形 臉部埋線 玻尿酸,台中市北區,醫美,休息中/未營業,民權路533號已打烊,04 2206 1560,2026-09-10 05:27
菲仕美整形外科診所,台中市北區,醫美,營業中,臺灣大道二段307號7樓營業中,04 2319 8800,2026-09-10 05:27
伊希思美學 - 育德店,台中市北區,醫美,營業中,育德路54號營業中,0919 753 657,2026-09-10 05:27
HPA極緻美學,台中市北區,美學,營業中,中清路一段100號12號樓之5營業中,,2026-09-10 05:27
蓓朵美學北區店PDBAcademy,台中市北區,美學,營業中,崇德路一段156-8號11樓營業中,,2026-09-10 05:27
四月美學,台中市北區,美學,營業中,錦平北街13巷8號2樓營業中,,2026-09-10 05:27
顏續美學－台中美睫｜霧眉｜睫毛管理｜孕婦除毛｜教學推薦｜近北區科博館,台中市北區,美學,營業中,民權路576號營業中,,2026-09-10 05:27
萃美學Cui Beauty Studio 益民店 男女臉部保養 基礎班教學（益民商圈二樓）,台中市北區,美學,營業中,一中街162-25號2樓營業中,,2026-09-10 05:27
甯萌美學,台中市北區,美學,未知,健行路566號,,2026-09-10 05:27
裔善美學STUDIO,台中市北區,美學,營業中,中清路一段138號4樓營業中,,2026-09-10 05:27
BELLEZZA 半永久全臉定妝美學,台中市北區,美學,營業中,梅亭街303號營業中,,2026-09-10 05:27
美學 台中美容,台中市北區,美學,營業中,中清路一段638號營業中,,2026-09-10 05:27
唯美顏美學,台中市北區,美學,營業中,梅亭街299號營業中,,2026-09-10 05:27
IJ美學美容,台中市北區,美學,營業中,學士路292巷29號營業中,,2026-09-10 05:27
美芃美學工作室,台中市北區,美學,營業中,益華街99-1號營業中,,2026-09-10 05:27
蒔雨美學SHI YU｜肌膚管理 背部管理 美體舒壓 體態雕塑｜台中北區做臉,台中市北區,美學,營業中,育強街76號營業中,,2026-09-10 05:27
亦瑪美學概念,台中市北區,美學,營業中,榮華街133號營業中,,2026-09-10 05:27
珐黛兒-蓓朵美學北區店,台中市北區,美學,營業中,崇德路一段156-8號11 樓營業中,,2026-09-10 05:27
Sy術研藝術美學｜北區美甲｜一中美睫｜專業紋繡教學｜,台中市北區,美學,未知,三民路三段217號4F之1即將開始營業,,2026-09-10 05:27
瑪琪美學spa工作室,台中市北區,美學,營業中,學士路292巷2弄3號營業中,,2026-09-10 05:27
M.two美學,台中市北區,美學,營業中,雙十路二段53號營業中,,2026-09-10 05:27
綠之漾-台中全方位美學館,台中市北區,美學,營業中,太平路46巷8號營業中,,2026-09-10 05:27
沐雲美學中心,台中市北區,美學,未知,漢口路三段152號,,2026-09-10 05:27
亮美學 beauty,台中市北區,美學,營業中,中清路一段19號營業中,,2026-09-10 05:27
Morii美學 台中采耳/霧眉/男生飄眉/除毛,台中市北區,美學,營業中,永興街315巷5號營業中,,2026-09-10 05:27
JOY玖壹伍美學 台中霧眉/霧唇,台中市北區,美學,營業中,梅亭街299號3樓營業中,,2026-09-10 05:27
氧膚舍-韓式皮膚管理霧眉美學館Youngforsee（預約制）,台中市北區,肌膚管理,營業中,三民路三段217號6樓之17營業中,,2026-09-10 05:27
KT BEAUTY 皮膚管理｜台中美業共享空間｜,台中市北區,肌膚管理,營業中,梅亭街303號營業中,,2026-09-10 05:27
莎氏美顏所,台中市北區,肌膚管理,營業中,學士路178巷7號營業中,,2026-09-10 05:27
沐夏,台中市北區,肌膚管理,未知,美德街248號即將開始營業,,2026-09-10 05:27
煥顏所huan_yan_studio/台中霧眉/皮膚保養/采耳,台中市北區,肌膚管理,營業中,中清路一段89號18F68室營業中,,2026-09-10 05:27
赫朵肌膚美學空間-北區崇德店,台中市北區,肌膚管理,營業中,漢口路四段318巷35號營業中,,2026-09-10 05:27
Her.mi 皮膚管理,台中市北區,肌膚管理,營業中,育才街6巷15號2樓營業中,,2026-09-10 05:27
禾漾美學SPA,台中市北區,肌膚管理,營業中,青島一街29號營業中,,2026-09-10 05:27
奇諾美皮膚管理GENOME,台中市北區,肌膚管理,營業中,梅川東路四段52號營業中,,2026-09-10 05:27
顏拾柒美學,台中市北區,肌膚管理,營業中,大義街117號營業中,,2026-09-10 05:27
伊媛皮膚管理 vianne - 台中做臉｜清粉刺｜水飛梭,台中市北區,肌膚管理,營業中,博館二街47號營業中,,2026-09-10 05:27
皮膚,台中市北區,肌膚管理,營業中,綏遠路二段192-1號營業中,,2026-09-10 05:27
LA SPA 心境美學(益民商圈2樓) 精油spa按摩•臉部按摩•頭部釋壓•耳燭•眼部舒壓•清粉刺•保濕•護膚,台中市北區,肌膚管理,營業中,一中街160-26號2樓營業中,,2026-09-10 05:27
肌遇皮膚管理,台中市北區,肌膚管理,營業中,文昌東五街43號營業中,,2026-09-10 05:27
pola beauty spa（日本POLA化妝品專賣店）#台中北區#POLA森林系#肌膚保養#舒眠頭部舒壓#型體精油#紋繡#科博館美容# ️採預約制#歡迎預約諮詢#BA抗醣化保養品#擊速煥白淡斑,台中市北區,肌膚管理,營業中,博館東街10巷17號營業中,,2026-09-10 05:27
NAHUI娜熙複合美學-韓式皮膚管理.色彩鑑定(台中北區直營店),台中市北區,肌膚管理,未知,柳川西路四段60巷11號,,2026-09-10 05:27
BELLE VUE．貝莉芙專業肌膚管理,台中市北區,肌膚管理,營業中,篤行路227號1樓營業中,,2026-09-10 05:27
AM spa 美容美體｜台中北區做臉｜美容護膚｜精油放鬆｜耳燭｜腦內釋壓｜海洋淨化敷體｜採預約制,台中市北區,肌膚管理,營業中,綏遠路一段47號營業中,,2026-09-10 05:27
Seora序拉韓式肌膚管理中心,台中市北區,肌膚管理,營業中,五權路598號2樓營業中,,2026-09-10 05:27
李元丕皮膚科診所,台中市北區,皮膚科,休息中/未營業,進化北路378之3號已打烊,04 2233 3800,2026-09-10 05:27
蓮華皮膚科診所 ‧ 抗痘 ‧ 除斑 ‧ 外泌體,台中市北區,皮膚科,休息中/未營業,崇德路一段639號已打烊,04 2236 8634,2026-09-10 05:27
林皮膚科診所,台中市北區,皮膚科,休息中/未營業,中清路一段77號已打烊,04 2202 4045,2026-09-10 05:27
賴啟賢皮膚科診所,台中市北區,皮膚科,休息中/未營業,進化路636號已打烊,04 2231 1993,2026-09-10 05:27
許百睿皮膚科診所,台中市北區,皮膚科,休息中/未營業,中清路一段538號已打烊,04 2297 1010,2026-09-10 05:27
真心皮膚科診所,台中市北區,皮膚科,休息中/未營業,忠明路167號已打烊,04 2208 6606,2026-09-10 05:27
鄭吉發皮膚科(林皮膚科駐診),台中市北區,皮膚科,休息中/未營業,中清路一段77號東興市場對面. 土地銀行隔壁已打烊,04 2202 4045,2026-09-10 05:27
舒頤診所∣皮膚∣過敏∣疼痛∣自律神經失調∣減重∣生髮,台中市北區,皮膚科,休息中/未營業,英才路110號已打烊,04 2206 9023,2026-09-10 05:27
翔恩診所,台中市北區,皮膚科,休息中/未營業,五權路277號已打烊,04 2206 6186,2026-09-10 05:27
白佳昇皮膚科診所,台中市北區,皮膚科,休息中/未營業,北屯路198-6號已打烊,04 2234 6239,2026-09-10 05:27
廖朝瑜皮膚科診所-北屯皮膚診所|皮膚科推薦|醫學美容|音波拉提|青春痘治療|安心醫美|微整推薦|皮秒雷射,台中市北區,皮膚科,休息中/未營業,崇德路三段131號已打烊,04 2422 6889,2026-09-10 05:27
黃千銘皮膚科診所,台中市北區,皮膚科,休息中/未營業,大連路二段279號已打烊,04 2242 9231,2026-09-10 05:27
施朝仁皮膚科診所,台中市北區,皮膚科,休息中/未營業,漢口路二段24號已打烊,04 2311 3888,2026-09-10 05:27
廖年昌皮膚科診所,台中市北區,皮膚科,休息中/未營業,文心路三段1031號已打烊,04 2292 8893,2026-09-10 05:27
鍾政瑾皮膚科葉俊麟內科診所,台中市北區,皮膚科,休息中/未營業,崇德二路一段142-2號已打烊,04 2246 7890,2026-09-10 05:27
GLOBELADY格柏蕾蒂高端皮膚管理｜W台中北區店,台中市北區,皮膚科,營業中,太原南二街43號營業中,0982 218 346,2026-09-10 05:27
家家診所 | 耳鼻喉 | 皮膚 | 腸胃 | 小兒科 | (感冒 過敏 氣喘 腸胃炎 皮膚疾病 診所 ),台中市北區,皮膚科,休息中/未營業,三民路三段291巷24號已打烊,04 2233 3333,2026-09-10 05:27
吳及時皮膚科診所 ｜1726 戰痘雷射｜一定要預約｜ line id: @skindrwu,台中市北區,皮膚科,休息中/未營業,金山路18-3號2樓已打烊,04 2372 0434,2026-09-10 05:27
王義輝皮膚科診所,台中市北區,皮膚科,休息中/未營業,中清路二段355號已打烊,04 2296 5052,2026-09-10 05:27
陳皮膚科診所,台中市北區,皮膚科,休息中/未營業,臺灣大道一段542號已打烊,04 2225 2067,2026-09-10 05:27
大唐診所,台中市北區,皮膚科,休息中/未營業,崇德路二段135號之1號已打烊,04 2249 1802,2026-09-10 05:27
日安青禾皮膚科診所,台中市北區,皮膚科,休息中/未營業,精武東路92號已打烊,04 2215 2615,2026-09-10 05:27
杏倫皮膚科診所,台中市北區,皮膚科,休息中/未營業,向上路一段42號已打烊,04 2301 9098,2026-09-10 05:27
佳膚診所,台中市北區,皮膚科,未知,五權路207之1號,,2026-09-10 05:27
文心極緻皮膚科診所,台中市北區,皮膚科,休息中/未營業,文心路二段562號已打烊,04 2310 9070,2026-09-10 05:27
天行健診所︱復健科、家醫科、兒童早療、內科、駕駛人體檢,台中市北區,皮膚科,營業中,健行路321號營業中,04 2235 2112,2026-09-10 05:27
鼎好聯合診所（現場掛號，無電話預約）,台中市北區,皮膚科,休息中/未營業,軍功路一段511號已打烊,04 2437 8437,2026-09-10 05:27
廖志明診所,台中市北區,皮膚科,休息中/未營業,北屯路256號已打烊,04 2243 9438,2026-09-10 05:27
精緻整形外科診所,台中市北區,整形外科,未知,三民路三段217號04 2230 5052,,2026-09-10 05:27
錦田整形外科診所,台中市北區,整形外科,休息中/未營業,進化路661號已打烊,04 2237 6602,2026-09-10 05:27
劉永森整形外科診所,台中市北區,整形外科,休息中/未營業,學士路83號4樓已打烊,04 2208 3306,2026-09-10 05:27
凡登整形外科診所 - 台中店,台中市北區,整形外科,營業中,"臺灣大道二段403號1樓,2樓營業中",04 2323 8858,2026-09-10 05:27
采妍整形外科診所,台中市北區,整形外科,營業中,民權路322號營業中,080 088 6228,2026-09-10 05:27
浩康診所,台中市北區,整形外科,休息中/未營業,英才路258號已打烊,04 2207 3888,2026-09-10 05:27
蔡國陞外科診所,台中市北區,整形外科,營業中,臺灣大道一段642號營業中,04 2225 5262,2026-09-10 05:27
現代診所,台中市北區,整形外科,休息中/未營業,進化北路163號已打烊,04 2232 4807,2026-09-10 05:27
格嘉整形外科診所,台中市北區,整形外科,營業中,東興路三段272號2樓營業中,04 2328 0652,2026-09-10 05:27
北極星整形外科診所,台中市北區,整形外科,營業中,立文街一號營業中,04 2393 5000,2026-09-10 05:27
崇義整形外科診所,台中市北區,整形外科,營業中,三民路一段170號營業中,04 2227 6377,2026-09-10 05:27
誠美學診所：一站式整形醫美植髮減重,台中市北區,整形外科,營業中,臺灣大道二段239號5樓營業中,04 2321 2111,2026-09-10 05:27
米秝琪整形外科診所,台中市北區,整形外科,營業中,向上路一段107號營業中,04 2301 5808,2026-09-10 05:27
周爾康整形外科診所-體態雕塑 抽脂 五官整形 隆乳 平胸 男性女乳 私密美型,台中市北區,整形外科,營業中,大隆路185號3樓營業中,04 2323 3666,2026-09-10 05:27
紐約台中整形外科診所,台中市北區,整形外科,營業中,文心路二段566-5號3樓之1營業中,04 2320 3000,2026-09-10 05:27
君綺診所,台中市北區,整形外科,營業中,中興街183號10 樓營業中,04 2302 1333,2026-09-10 05:27
國際代謝形體醫學中心,台中市北區,整形外科,營業中,學士路6號營業中,04 2205 2121,2026-09-10 05:27
台中群英整形外科診所（勤美綠園道 . 全台連鎖醫美診所）,台中市北區,整形外科,營業中,中興街183號11樓營業中,04 2302 9880,2026-09-10 05:27
維美醫學整形外科診所,台中市北區,整形外科,營業中,臺灣大道三段660號2樓營業中,04 2452 0808,2026-09-10 05:27
學仕中西醫聯合門診,台中市北區,整形外科,休息中/未營業,學士路280號已打烊,04 2235 3188,2026-09-10 05:27
洪清一診所,台中市北區,整形外科,休息中/未營業,中清路一段179號已打烊,04 2205 9339,2026-09-10 05:27
中國醫藥大學附設醫院第一醫療大樓,台中市北區,整形外科,休息中/未營業,育德路2號已打烊,04 2205 2121,2026-09-10 05:27
祥祐診所,台中市北區,診所,休息中/未營業,三民路三段348號已打烊,04 2231 5688,2026-09-10 05:27
吳志中診所,台中市北區,診所,休息中/未營業,健行路510號已打烊,04 2205 9412,2026-09-10 05:27
展弘耳鼻喉科診所,台中市北區,診所,休息中/未營業,漢口路四段322號已打烊,04 2230 7388,2026-09-10 05:27
呂錦泉李益光聯合診所,台中市北區,診所,休息中/未營業,崇德路一段119號已打烊,04 2233 4393,2026-09-10 05:27
仟順診所,台中市北區,診所,休息中/未營業,崇德路一段502號已打烊,04 2238 6322,2026-09-10 05:27
崇德大允診所♛邢志宇耳鼻喉科醫師團隊【台中北屯北區耳鼻喉科小兒科推薦】週日看診|耳鼻喉科|小兒科|三高慢性病|鼻塞|過敏|氣喘|腸胃|喉嚨卡卡|流感|HPV疫苗|帶狀皰疹|腸病毒疫苗|肺鏈疫苗|猛健樂,台中市北區,診所,休息中/未營業,崇德路一段536號已打烊,04 2231 0501,2026-09-10 05:27
詠康耳鼻喉科診所,台中市北區,診所,休息中/未營業,學士路二段312號已打烊,04 2235 2015,2026-09-10 05:27
台中家幼診所,台中市北區,診所,休息中/未營業,進化北路96號已打烊,04 2231 5588,2026-09-10 05:27
衛道耳鼻喉科診所,台中市北區,診所,休息中/未營業,進化北路378之7號已打烊,04 2230 7389,2026-09-10 05:27
慈仁診所,台中市北區,診所,休息中/未營業,五權路488之8號7樓已打烊,04 2205 7398,2026-09-10 05:27
仕進診所,台中市北區,診所,休息中/未營業,中清路一段462號已打烊,04 2208 0105,2026-09-10 05:27
臺中市台中都診所協會,台中市北區,診所,營業中,健行路375-15號16樓A號營業中,04 2235 6606,2026-09-10 05:27
英才耳鼻喉科診所,台中市北區,診所,休息中/未營業,英才路296號已打烊,04 2203 6753,2026-09-10 05:27
聯新國際聯合診所,台中市北區,診所,休息中/未營業,雙十路一段16號2樓已打烊,04 3707 0066,2026-09-10 05:27
上杉診所 ｜台中｜ 肝膽腸胃專科 ｜ 無痛腸胃鏡 ｜ 肝膽胰甲狀腺超音波 ｜痔瘡冷凝刀｜ 減重,台中市北區,診所,休息中/未營業,612號 公益路二段已打烊,04 2254 8606,2026-09-10 05:27
郭耳鼻喉科診所,台中市北區,診所,休息中/未營業,健行路594號已打烊,04 2205 4863,2026-09-10 05:27
台中北區專業洗腎/腎臟科 慶華診所,台中市北區,診所,營業中,進化北路392號之3營業中,04 2237 5522,2026-09-10 05:27
施永泰小兒科診所,台中市北區,診所,休息中/未營業,梅亭街200號已打烊,04 2236 3426,2026-09-10 05:27
幼祥中西醫聯合診所,台中市北區,診所,休息中/未營業,崇德路一段531號已打烊,04 2232 8500,2026-09-10 05:27
欣揚診所（家醫科）,台中市北區,診所,休息中/未營業,漢口路四段306號已打烊,04 2237 3880,2026-09-10 05:27
文冠內科診所,台中市北區,診所,營業中,"5 255號, 學士路即將打烊：13:00",04 2208 0199,2026-09-10 05:27
施俊哲診所,台中市北區,診所,休息中/未營業,忠明路510號已打烊,04 2206 7148,2026-09-10 05:27
維新診所-台中泌尿專科診所、性傳染病專家醫師,台中市北區,泌尿科,休息中/未營業,五權路247號已打烊,04 2206 0501,2026-09-10 05:27
紀外科泌尿科診所,台中市北區,泌尿科,休息中/未營業,梅亭街479號已打烊,04 2205 0357,2026-09-10 05:27
曾浩翔,台中市北區,泌尿科,未知,育德路2號24 小時營業,,2026-09-10 05:27
昭安泌尿科診所｜台中泌尿專科,台中市北區,泌尿科,休息中/未營業,博館二街98號已打烊,04 2321 2520,2026-09-10 05:27
曾慶華外科泌尿科診所,台中市北區,泌尿科,休息中/未營業,中清路二段318號已打烊,04 2293 3398,2026-09-10 05:27
清榮診所,台中市北區,泌尿科,休息中/未營業,臺灣大道一段643號已打烊,04 2229 4279,2026-09-10 05:27
佑達泌尿科診所 (北屯院所) | 停車便利 | 舒適看診體驗 | 微創包皮 | 微創快速結紮 | 男性私密整型 | 性功能保養 | 男性更年期抗老,台中市北區,泌尿科,休息中/未營業,軍福十九路456號已打烊,04 2436 2582,2026-09-10 05:27
台中西屯顧家泌尿科診所：包皮結紮、男女泌尿、性病檢查、性功能保養、痔瘡直腸科,台中市北區,泌尿科,休息中/未營業,大隆路185號已打烊,04 2310 8588,2026-09-10 05:27
佑達泌尿科診所 (西屯水湳院所) | 停車便利 | 舒適看診體驗 | 微創包皮 | 微創快速結紮 | 男性私密整型 | 性功能保養 | 男性更年期抗老,台中市北區,泌尿科,休息中/未營業,順平路145號已打烊,04 2299 3622,2026-09-10 05:27
尼斯診所 台中分院,台中市北區,泌尿科,營業中,大和路31號營業中,04 2305 6200,2026-09-10 05:27
輝達泌尿科診所,台中市北區,泌尿科,休息中/未營業,敦化路一段608號已打烊,04 2426 9968,2026-09-10 05:27
懿安泌尿科診所 - 澄清 林新 醫院聯合 - 台中泌尿科推薦、包皮手術、結紮推薦、性功能障礙、攝護腺肥大、菜花HPV疫苗、性病篩檢、低能量震波、男女小兒泌尿,台中市北區,泌尿科,休息中/未營業,大隆路102號已打烊,04 2327 5977,2026-09-10 05:27
綠洲診所｜皮膚 泌尿｜微創粉瘤 脂肪瘤｜雷射包皮 微創結紮 性功能 除疣｜除痣 青春痘 皮膚暗沉 過敏 外傷 感染｜皮膚科泌尿科 推薦,台中市北區,泌尿科,營業中,后庄北路16號營業中,04 2426 0990,2026-09-10 05:27
佑達泌尿科診所 (台中文心) | 停車便利 | 舒適看診體驗 | 微創包皮 | 微創快速結紮 | 男性私密整型 | 性功能保養 | 男性更年期抗老,台中市北區,泌尿科,休息中/未營業,惠文路527號已打烊,04 2380 2393,2026-09-10 05:27
杏和診所,台中市北區,泌尿科,未知,梅亭街276號04 2205 7628,,2026-09-10 05:27
信賴泌尿科專科診所,台中市北區,泌尿科,休息中/未營業,黎明路三段103號已打烊,04 2452 9898,2026-09-10 05:27
吉陽診所 台中泌尿科推薦/新式包皮手術/微創結紮手術/男性保健/賀爾蒙/勃起功能/低能量震波/燒燙傷/傷口縫合換藥/雷射攝護腺/雷射痔瘡/性別友善/隱私特診/PrEP/PEP/性病篩檢治療/線上預約,台中市北區,泌尿科,休息中/未營業,復興路二段155-1號已打烊,04 2260 2256,2026-09-10 05:27
瑞和泌尿科診所,台中市北區,泌尿科,休息中/未營業,大墩南路435號已打烊,04 2471 3000,2026-09-10 05:27
尚美泌尿科診所,台中市北區,泌尿科,休息中/未營業,大墩二街112號已打烊,04 2472 6200,2026-09-10 05:27
愛立康外科/泌尿科診所Urology/Surgery｜尿路感染｜包皮手術・結紮評估｜男性泌尿專科 性功能治療｜台中推薦,台中市北區,泌尿科,休息中/未營業,松竹路二段665號已打烊,04 2241 2066,2026-09-10 05:27
台中泌尿科 張英傑醫師｜野馬波｜攝護腺水蒸氣消融/鈦合金拉開術｜私密增粗｜玻尿酸注射｜睪固酮提升,台中市北區,泌尿科,休息中/未營業,敦化路一段608號已打烊,04 2426 9968,2026-09-10 05:27
臺安醫院 雙十分院,台中市北區,泌尿科,營業中,雙十路二段29號營業中,04 2226 8990,2026-09-10 05:27
樂揚泌尿專科診所-東區泌尿科推薦|口碑泌尿醫師|泌尿道感染|推薦割包皮|男生無切口結紮|性病治療|性功能強化|新式膠圈釘包皮,台中市東區,泌尿科,休息中/未營業,"號 No, No. 7台中路已打烊",0983 729 329,2026-09-10 05:27
京鑫泌尿科診所/外科診所/逢甲泌尿科/西屯泌尿科/無刀口結紮/微創包皮手術/舒眠手術/注射治療/男女泌尿道感染/解尿不適/結石/攝護腺肥大/性病友善/性功能障礙診斷及治療/外傷處置/皮膚腫瘤微創手術/Xitun urology /感冒,台中市北區,泌尿科,營業中,青海路二段242之30號即將打烊：13:00,04 2452 0077,2026-09-10 05:27
賢德醫院泌尿科,台中市北區,泌尿科,未知,宜昌路420號04 2273 2551,,2026-09-10 05:27
耀隆腎臟內科診所-附設糖尿病照護中心-動磁波(漏尿、頻尿、尿失禁)、猛健樂(體重控制)、腎臟病、三高慢性病、泌尿道感染、血尿、痛風、靜脈雷射。,台中市北區,泌尿科,休息中/未營業,陝西路27-1號北區已打烊,04 2293 5200,2026-09-10 05:27
春元診所,台中市北區,泌尿科,休息中/未營業,大墩六街48號已打烊,04 2472 5666,2026-09-10 05:27
安昱泌尿科診所-台中泌尿科推薦/性功能保養/低能量震波/男性更年期保養/雷射包皮/微創結紮/男女私密處整形/性病/攝護腺問題/男女小兒泌尿問題,台中市北區,泌尿科,休息中/未營業,公益路二段360號已打烊,04 2258 0726,2026-09-10 05:27
福瑞診所-台中泌尿科｜外科｜泌尿疾病｜攝護腺肥大｜性病診療｜慢性病治療｜術前術後營養調理｜體重控制運動營養,台中市北區,泌尿科,休息中/未營業,福泰東路51 號已打烊,04 2463 7728,2026-09-10 05:27
王介山骨科外科診所,台中市北區,骨科,休息中/未營業,進化路548號1樓已打烊,04 2233 9399,2026-09-10 05:27
博恩骨科診所,台中市北區,骨科,休息中/未營業,中清路一段1號已打烊,04 2206 3087,2026-09-10 05:27
上禾骨科診所,台中市北區,骨科,休息中/未營業,忠明路240號已打烊,04 2208 6511,2026-09-10 05:27
秦華強骨科診所,台中市北區,骨科,休息中/未營業,興進路127號已打烊,04 2360 0906,2026-09-10 05:27
王友杰骨科診所,台中市北區,骨科,休息中/未營業,北屯路439-13號1號已打烊,04 2246 6646,2026-09-10 05:27
台中北區-恆新復健科診所 [健保/骨科復健/徒手/震波/增生PRP/兒童早療/中風三高失眠靜脈雷射/減重猛健樂/生長板骨齡評估/性功能障礙震波 ],台中市北區,骨科,休息中/未營業,忠明路432號B1已打烊,04 2201 8686,2026-09-10 05:27
雲健骨科診所,台中市北區,骨科,休息中/未營業,梅川西路四段290號已打烊,04 2298 2908,2026-09-10 05:27
康瑞復健科診所(即日起遷移到雙十路一段16號二樓、自來水公司旁邊),台中市北區,骨科,休息中/未營業,雙十路一段16號2 樓已打烊,04 3707 0066,2026-09-10 05:27
惠好復健科診所,台中市北區,骨科,休息中/未營業,中清路一段450號已打烊,04 2208 1328,2026-09-10 05:27
臻行骨科診所,台中市北區,骨科,休息中/未營業,南興路896號已打烊,04 2436 4575,2026-09-10 05:27
